Country,Code,Year,HeadCount
Armenia,ARM,2007,9.491009712
Armenia,ARM,2008,9.785079956
Armenia,ARM,2009,10.06521034
Armenia,ARM,2010,9.838749886
Armenia,ARM,2011,9.479189873
Armenia,ARM,2012,9.398309708
Aruba,ABW,1999,25.82856941
Aruba,ABW,2000,26.5
Aruba,ABW,2001,25.59820938
Aruba,ABW,2002,23.72950935
Aruba,ABW,2003,21.5259304
Aruba,ABW,2004,20.11347961
Aruba,ABW,2005,19.59028053
Aruba,ABW,2006,20.58621025
Aruba,ABW,2007,20.66666985
Aruba,ABW,2008,19.16083908
Aruba,ABW,2009,18.66897011
Aruba,ABW,2010,19.50694084
Aruba,ABW,2011,18.9251709
Aruba,ABW,2012,19.55101967
Austria,AUT,1971,27.21207047
Austria,AUT,1972,27.12961006
Austria,AUT,1973,30.79548073
Austria,AUT,1974,30.18891907
Austria,AUT,1975,29.16013908
Austria,AUT,1976,27.66547012
Austria,AUT,1977,26.09416962
Austria,AUT,1978,25.18207932
Austria,AUT,1979,24.42725945
Austria,AUT,1980,23.70443916
Austria,AUT,1981,23.42778015
Austria,AUT,1982,22.65294075
Austria,AUT,1983,22.43252945
Austria,AUT,1984,21.65976906
Austria,AUT,1985,21.64476013
Austria,AUT,1986,22.25542068
Austria,AUT,1987,22.23204041
Austria,AUT,1988,21.99806023
Austria,AUT,1989,21.70652962
Austria,AUT,1990,21.33414078
Austria,AUT,1991,20.88422966
Austria,AUT,1992,20.46772003
Austria,AUT,1993,20.26791
Austria,AUT,1994,18.18161011
Austria,AUT,1995,16.78911018
Austria,AUT,1996,17.07065964
Austria,AUT,1997,16.7573204
Austria,AUT,1998,16.6387291
Austria,AUT,1999,15.96409035
Austria,AUT,2002,15.80130005
Austria,AUT,2003,15.12514973
Austria,AUT,2004,14.82777977
Austria,AUT,2005,14.20748997
Austria,AUT,2006,13.63871002
Austria,AUT,2007,13.53304958
Austria,AUT,2008,13.39389038
Austria,AUT,2009,12.77952003
Austria,AUT,2010,12.41306019
Austria,AUT,2011,12.0152998
Austria,AUT,2012,11.91714954
Austria,AUT,2013,11.67848969
Austria,AUT,2014,11.73775005
Azerbaijan,AZE,1981,8.051139832
Azerbaijan,AZE,1986,8.194899559
Azerbaijan,AZE,1989,7.072879791
Azerbaijan,AZE,1990,7.664929867
Azerbaijan,AZE,1991,7.147220135
Azerbaijan,AZE,1992,6.710000038
Azerbaijan,AZE,1993,6.395559788
Azerbaijan,AZE,1994,6.175320148
Azerbaijan,AZE,1995,7.366749763
Azerbaijan,AZE,1996,7.145870209
Azerbaijan,AZE,1997,7.390319824
Azerbaijan,AZE,1998,7.326779842
Azerbaijan,AZE,1999,7.395720005
Azerbaijan,AZE,2000,8.326569557
Azerbaijan,AZE,2001,8.563199997
Azerbaijan,AZE,2002,8.706689835
Azerbaijan,AZE,2003,8.752169609
Azerbaijan,AZE,2004,8.685319901
Azerbaijan,AZE,2005,8.636610031
Azerbaijan,AZE,2006,8.790399551
Azerbaijan,AZE,2007,8.751560211
Azerbaijan,AZE,2008,8.724989891
Azerbaijan,AZE,2009,8.729049683
Azerbaijan,AZE,2010,9.263139725
Azerbaijan,AZE,2011,9.275250435
Azerbaijan,AZE,2012,9.020330429
Azerbaijan,AZE,2013,9.951259613
Azerbaijan,AZE,2014,11.14659977
Bahamas,BHS,1993,16.76596069
Bahamas,BHS,1997,14.3947401
Bahamas,BHS,1999,9.205129623
Bahamas,BHS,2000,9.356100082
Bahamas,BHS,2002,11.18047047
Bahrain,BHR,1978,32.91780853
Bahrain,BHR,1979,32.35802078
Bahrain,BHR,1980,31.18084908
Bahrain,BHR,1982,42.14422989
Bahrain,BHR,1983,31.58124924
Bahrain,BHR,1984,27.60317039
Bahrain,BHR,1985,32.83414841
Bahrain,BHR,1986,29.83529091
Bahrain,BHR,1987,27.92542076
Bahrain,BHR,1988,27.3501606
Bahrain,BHR,1989,30.18120956
Bahrain,BHR,1991,26.3255806
Bahrain,BHR,1992,26.25580978
Bahrain,BHR,1993,27.36190033
Bahrain,BHR,1994,25.87931061
Bahrain,BHR,1995,24.91633987
Bahrain,BHR,1996,27.34297943
Bahrain,BHR,1998,23.89160919
Bahrain,BHR,1999,21.30908966
Bahrain,BHR,2000,20.94363976
Bahrain,BHR,2001,21.1404705
Bahrain,BHR,2002,21.18045998
Bahrain,BHR,2003,20.88431931
Bahrain,BHR,2005,14.70263958
Bahrain,BHR,2006,15.94626045
Bahrain,BHR,2008,15.74855995
Bahrain,BHR,2009,15.89999962
Bahrain,BHR,2010,15.51218033
Bahrain,BHR,2011,15.65318012
Bahrain,BHR,2012,15.02748013
Bahrain,BHR,2013,14.61631012
Bahrain,BHR,2014,15.21667004
Bangladesh,BGD,1973,42.12820816
Bangladesh,BGD,1988,36.74914932
Bangladesh,BGD,1998,32.23326111
Bangladesh,BGD,1999,27.02873993
Bangladesh,BGD,2000,24.36795044
Bangladesh,BGD,2001,28.23649979
Bangladesh,BGD,2002,23.12425041
Barbados,BRB,1978,22.85400963
Barbados,BRB,1979,24.1889801
Barbados,BRB,1983,23.1212101
Barbados,BRB,1999,17.61094093
Barbados,BRB,2000,16.65854073
Barbados,BRB,2001,16.2985096
Barbados,BRB,2002,17.28613091
Barbados,BRB,2003,17.0959301
Barbados,BRB,2004,17.72072029
Barbados,BRB,2005,17.7225399
Barbados,BRB,2007,18.94444084
Barbados,BRB,2008,16.33884048
Barbados,BRB,2009,16.79281998
Barbados,BRB,2010,16.19499016
Barbados,BRB,2011,16.14942932
Barbados,BRB,2014,17.14368057
Belarus,BLR,1981,9.486260414
Belarus,BLR,1982,9.361760139
Belarus,BLR,1983,9.243240356
Belarus,BLR,1984,8.910340309
Belarus,BLR,1985,8.353560448
Belarus,BLR,1986,7.828849792
Belarus,BLR,1987,7.78715992
Belarus,BLR,1988,7.803480148
Belarus,BLR,1989,7.812079906
Belarus,BLR,1990,7.700660229
Belarus,BLR,1991,6.73514986
Belarus,BLR,1992,6.634769917
Belarus,BLR,1993,6.777180195
Belarus,BLR,1994,6.708030224
Belarus,BLR,1995,6.667270184
Belarus,BLR,1996,6.401100159
Belarus,BLR,1997,5.987080097
Belarus,BLR,1999,5.180940151
Belarus,BLR,2000,4.944600105
Belarus,BLR,2001,4.853219986
Belarus,BLR,2002,4.80284977
Belarus,BLR,2003,5.782239914
Belarus,BLR,2004,5.884850025
Belarus,BLR,2005,6.122439861
Belarus,BLR,2006,6.140639782
Belarus,BLR,2007,6.150290012
Belarus,BLR,2008,6.170300007
Belarus,BLR,2009,6.131259918
Belarus,BLR,2010,6.331799984
Belarus,BLR,2011,6.581299782
Belarus,BLR,2012,6.409910202
Belarus,BLR,2013,7.644179821
Belarus,BLR,2014,7.811830044
Belgium,BEL,1971,25.60292053
Belgium,BEL,1974,24.90107918
Belgium,BEL,1976,25.07662964
Belgium,BEL,1977,24.58568954
Belgium,BEL,1978,24.01408005
Belgium,BEL,1979,23.31022072
Belgium,BEL,1980,22.3123703
Belgium,BEL,1981,22.43251991
Belgium,BEL,1982,22.48166084
Belgium,BEL,1984,23.28318024
Belgium,BEL,1985,20.6708107
Belgium,BEL,1986,19.79730034
Belgium,BEL,1993,16.85775948
Belgium,BEL,1994,17.43520927
Belgium,BEL,2001,14.78003979
Belgium,BEL,2002,14.61814022
Belgium,BEL,2003,14.33014965
Belgium,BEL,2004,13.8968401
Belgium,BEL,2005,14.25796986
Belgium,BEL,2006,14.02050018
Belgium,BEL,2007,13.9408102
Belgium,BEL,2008,13.80387974
Belgium,BEL,2009,13.83705997
Belgium,BEL,2010,13.92133045
Belgium,BEL,2011,13.91456985
Belgium,BEL,2012,13.92234039
Belgium,BEL,2013,13.57944012
Belgium,BEL,2014,13.42901039
Belize,BLZ,1981,15.38461971
Belize,BLZ,1987,16.15385056
Belize,BLZ,1990,18.84614944
Belize,BLZ,1991,17.7612896
Belize,BLZ,1992,19.11764908
Belize,BLZ,1993,19.1875
Belize,BLZ,1994,17.96590996
Belize,BLZ,1995,17.42631912
Belize,BLZ,1996,18.26519012
Belize,BLZ,1997,18.13513947
Belize,BLZ,1999,18.54081917
Belize,BLZ,2000,18.99485016
Belize,BLZ,2001,17.68571091
Belize,BLZ,2003,17.6308403
Belize,BLZ,2004,16.9594593
Belize,BLZ,2005,17.23436928
Belize,BLZ,2006,17.23759079
Belize,BLZ,2007,17.12371063
Belize,BLZ,2008,16.66954041
Belize,BLZ,2009,15.96296024
Belize,BLZ,2010,17.44973946
Belize,BLZ,2011,16.31719017
Belize,BLZ,2012,16.32110023
Belize,BLZ,2013,16.97248077
Belize,BLZ,2014,16.59513092
Benin,BEN,1981,21.71838951
Benin,BEN,1982,20.02033043
Benin,BEN,1983,21.22472
Benin,BEN,1984,22.25291061
Benin,BEN,1985,22.59132004
Benin,BEN,1986,21.48669052
Benin,BEN,1987,21.10032082
Benin,BEN,1988,20.4430809
Benin,BEN,1989,20.60276031
Benin,BEN,1990,21.02874947
Benin,BEN,1991,22.7809391
Benin,BEN,1992,22.59313965
Benin,BEN,1993,23.32913017
Benin,BEN,1994,28.01543999
Benin,BEN,1995,26.4991703
Benin,BEN,1996,27.08414078
Benin,BEN,1999,28.04232025
Benin,BEN,2000,28.99477959
Benin,BEN,2001,29.9162693
Benin,BEN,2002,32.0041008
Benin,BEN,2003,33.67797089
Benin,BEN,2004,36.33993149
Benin,BEN,2005,43.23905945
Benin,BEN,2006,49.13386154
Benin,BEN,2008,38.32450867
Benin,BEN,2009,38.63935089
Benin,BEN,2010,33.24214172
Benin,BEN,2011,27.07122993
Benin,BEN,2012,25.06084061
Benin,BEN,2013,26.14969063
Benin,BEN,2014,26.71294975
Bermuda,BMU,1977,14.41429043
Bermuda,BMU,2001,7.163929939
Bermuda,BMU,2002,6.78689003
Bermuda,BMU,2003,6.982140064
Bermuda,BMU,2004,7.543859959
Bermuda,BMU,2011,6.199999809
Bermuda,BMU,2012,8.254899979
Bermuda,BMU,2013,6.483329773
Bermuda,BMU,2014,8.586959839
Bhutan,BTN,1998,22.3125
Bhutan,BTN,1999,22
Bhutan,BTN,2000,22.375
Bhutan,BTN,2005,23.11111069
Bhutan,BTN,2007,11.31579018
Bhutan,BTN,2008,11.30768967
Bhutan,BTN,2009,9.810810089
Bhutan,BTN,2010,8.341770172
Bhutan,BTN,2011,12.45901966
Bhutan,BTN,2012,11.29257965
Bhutan,BTN,2013,11.6212101
Bhutan,BTN,2014,11.25516987
Bolivia,BOL,1984,34.82878876
Bolivia,BOL,1986,56.02556992
Bolivia,BOL,1987,54.8459816
Bolivia,BOL,1988,41.03495026
Bolivia,BOL,1989,31.82452965
Bolivia,BOL,1990,41.84180069
Bolivia,BOL,1999,41.83390045
Bolivia,BOL,2000,42.48070145
Bolivia,BOL,2001,43.58749008
Bolivia,BOL,2002,43.95413971
Bolivia,BOL,2003,40.89413071
Bolivia,BOL,2004,40.89688873
Bolivia,BOL,2007,38.84378052
Botswana,BWA,2006,15.19822979
Botswana,BWA,2007,14.4485302
Botswana,BWA,2008,15.5288496
Botswana,BWA,2009,12.92751026
Botswana,BWA,2012,11.2903204
Brazil,BRA,1970,22.02088928
Brazil,BRA,1971,20.38190079
Brazil,BRA,1972,20.36483002
Brazil,BRA,1973,20.29968071
Brazil,BRA,1974,20.10415077
Brazil,BRA,1975,21.44537926
Brazil,BRA,1976,21.38727951
Brazil,BRA,1977,20.74596024
Brazil,BRA,1978,20.87245941
Brazil,BRA,1979,23.02363968
Brazil,BRA,1980,22.71410942
Brazil,BRA,1981,23.10280991
Brazil,BRA,1982,23.0338192
Brazil,BRA,1983,23.64302063
Brazil,BRA,1984,22.66238022
Brazil,BRA,1985,23.01972008
Brazil,BRA,1986,24.21916962
Brazil,BRA,1987,23.68102074
Brazil,BRA,1988,23.3210392
Brazil,BRA,1989,22.89541054
Brazil,BRA,1991,20.62344933
Brazil,BRA,1992,21.59350014
Brazil,BRA,1993,21.20383072
Brazil,BRA,1994,20.71060944
Brazil,BRA,1996,19.33662987
Brazil,BRA,1997,19.07164955
Brazil,BRA,2007,15.08323956
Brazil,BRA,2008,13.90820026
Brazil,BRA,2009,13.07777977
Brazil,BRA,2010,12.28106976
Brazil,BRA,2011,11.47953987
Brazil,BRA,2012,10.77064037
Brazil,BRA,2013,17.10287094
Brunei,BRN,1978,25.1037693
Brunei,BRN,1979,21.17057037
Brunei,BRN,1980,20.86420059
Brunei,BRN,1981,19.54261017
Brunei,BRN,1982,20.75861931
Brunei,BRN,1983,21.86012077
Brunei,BRN,1984,21.08815002
Brunei,BRN,1985,22.00819969
Brunei,BRN,1986,20.30101967
Brunei,BRN,1987,20.25934982
Brunei,BRN,1991,20.57205963
Brunei,BRN,1992,20.95329094
Brunei,BRN,1993,21.80112076
Brunei,BRN,1994,21.17984009
Brunei,BRN,1995,21.83333015
Brunei,BRN,1998,21.35272026
Brunei,BRN,1999,19.97526932
Brunei,BRN,2000,20.50102997
Brunei,BRN,2001,21.50855064
Brunei,BRN,2002,20.16637039
Brunei,BRN,2003,19.54339981
Brunei,BRN,2004,23.0174408
Brunei,BRN,2005,19.23596001
Brunei,BRN,2006,18.6586895
Brunei,BRN,2007,21.15315056
Brunei,BRN,2008,19.56270981
Brunei,BRN,2009,21.82718086
Brunei,BRN,2010,19.63664055
Brunei,BRN,2011,12.07493019
Brunei,BRN,2012,13.59813023
Brunei,BRN,2013,13.43710995
Brunei,BRN,2014,17.01781082
Bulgaria,BGR,1971,18.25461006
Bulgaria,BGR,1972,17.7146492
Bulgaria,BGR,1973,17.54870987
Bulgaria,BGR,1974,17.29659081
Bulgaria,BGR,1975,17.05047989
Bulgaria,BGR,1976,16.26651955
Bulgaria,BGR,1977,15.24625015
Bulgaria,BGR,1978,15.03048038
Bulgaria,BGR,1979,14.70217037
Bulgaria,BGR,1980,14.72768021
Bulgaria,BGR,1981,14.51247978
Bulgaria,BGR,1982,14.00030994
Bulgaria,BGR,1983,13.7921896
Bulgaria,BGR,1984,13.36773968
Bulgaria,BGR,1985,13.07814026
Bulgaria,BGR,1986,12.48596954
Bulgaria,BGR,1987,12.15721989
Bulgaria,BGR,1988,12.01702976
Bulgaria,BGR,1989,11.7621603
Bulgaria,BGR,1990,11.21640968
Bulgaria,BGR,1991,10.55667973
Bulgaria,BGR,1992,9.23497963
Bulgaria,BGR,1993,9.598690033
Bulgaria,BGR,1994,9.658200264
Bulgaria,BGR,1995,10.23651981
Bulgaria,BGR,1996,10.64186001
Bulgaria,BGR,1997,10.57744026
Bulgaria,BGR,1998,10.68457031
Bulgaria,BGR,1999,11.32429981
Bulgaria,BGR,2000,11.27836037
Bulgaria,BGR,2001,11.43006039
Bulgaria,BGR,2002,11.41059017
Bulgaria,BGR,2003,11.76673031
Bulgaria,BGR,2004,11.49662971
Bulgaria,BGR,2005,11.48244953
Bulgaria,BGR,2006,11.45730972
Bulgaria,BGR,2007,11.44766998
Bulgaria,BGR,2008,11.43056965
Bulgaria,BGR,2009,11.8016901
Bulgaria,BGR,2010,12.02208042
Bulgaria,BGR,2011,12.29878044
Bulgaria,BGR,2012,12.49293041
Bulgaria,BGR,2013,12.69734001
Bulgaria,BGR,2014,12.82017994
Burkina Faso,BFA,1972,18.90909004
Burkina Faso,BFA,1975,53.11111069
Burkina Faso,BFA,1976,26.15789032
Burkina Faso,BFA,1981,25.46666908
Burkina Faso,BFA,1982,26
Burkina Faso,BFA,1983,25.51852036
Burkina Faso,BFA,1984,28.61404037
Burkina Faso,BFA,1985,25.83810043
Burkina Faso,BFA,1986,26.24444008
Burkina Faso,BFA,1987,26.70055962
Burkina Faso,BFA,1988,27.82587051
Burkina Faso,BFA,1989,31.09950066
Burkina Faso,BFA,1990,25.52511024
Burkina Faso,BFA,1991,28.25416946
Burkina Faso,BFA,1992,29.77647018
Burkina Faso,BFA,1993,29.41851997
Burkina Faso,BFA,1994,28.37037086
Burkina Faso,BFA,1995,28.68091011
Burkina Faso,BFA,1996,35.94488144
Burkina Faso,BFA,1997,40.20095062
Burkina Faso,BFA,1998,40.91836929
Burkina Faso,BFA,2007,23.59778976
Burkina Faso,BFA,2011,23.30854034
Burkina Faso,BFA,2012,23.55876923
Burkina Faso,BFA,2013,24.66873932
Burundi,BDI,1971,50.88888931
Burundi,BDI,1972,42.85713959
Burundi,BDI,1982,45.6086998
Burundi,BDI,1983,51
Burundi,BDI,1984,45.96551895
Burundi,BDI,1985,57.84000015
Burundi,BDI,1986,55.4375
Burundi,BDI,1987,44.7954483
Burundi,BDI,1989,48.59183884
Burundi,BDI,1999,28.05681992
Burundi,BDI,2000,27.5
Burundi,BDI,2001,32.96969986
Burundi,BDI,2002,32.08108139
Burundi,BDI,2003,29.87050056
Burundi,BDI,2004,27.9811306
Burundi,BDI,2006,28.8717308
Burundi,BDI,2007,36.77449036
Burundi,BDI,2009,32.94282913
Burundi,BDI,2010,34.07730103
Burundi,BDI,2011,35.39197922
Burundi,BDI,2012,32.96332932
Burundi,BDI,2013,33.84989929
Burundi,BDI,2014,35.26697922
Cambodia,KHM,1981,23.93174934
Cambodia,KHM,1982,20.26773071
Cambodia,KHM,1983,24.8922596
Cambodia,KHM,1984,23.75485992
Cambodia,KHM,1985,21.75477028
Cambodia,KHM,1986,23.42160034
Cambodia,KHM,1987,21.24189949
Cambodia,KHM,1988,19.78091049
Cambodia,KHM,1989,19.11779022
Cambodia,KHM,1990,16.55838013
Cambodia,KHM,1991,16.65325928
Cambodia,KHM,1994,25.79203033
Cambodia,KHM,1995,25.35415077
Cambodia,KHM,1997,23.59873962
Cambodia,KHM,1998,24.04762077
Cambodia,KHM,2000,27.78511047
Cambodia,KHM,2001,23.85713959
Cambodia,KHM,2002,28.14808083
Cambodia,KHM,2003,24.60499954
Cambodia,KHM,2004,29.56185913
Cambodia,KHM,2005,24.66064072
Cambodia,KHM,2006,23.75094032
Cambodia,KHM,2007,25.16194916
Cambodia,KHM,2008,22.91287994
Cambodia,KHM,2010,27.8956604
Cambodia,KHM,2011,27.34185982
Cambodia,KHM,2012,27.99015045
Cambodia,KHM,2013,28.59202957
Cambodia,KHM,2014,31.34581947
Cameroon,CMR,1977,31.58501053
Cameroon,CMR,1978,27.70928955
Cameroon,CMR,1979,26.67996979
Cameroon,CMR,1980,28.32509995
Cameroon,CMR,1981,26.83465958
Cameroon,CMR,1983,23.92885971
Cameroon,CMR,1984,27.24103928
Cameroon,CMR,1985,28.71785927
Cameroon,CMR,1986,29.94540024
Cameroon,CMR,1987,28.44922066
Cameroon,CMR,1988,29.72904968
Cameroon,CMR,1989,28.54598999
Cameroon,CMR,1990,26.99361038
Cameroon,CMR,1991,26.28848076
Cameroon,CMR,1992,26.95358086
Cameroon,CMR,1994,24.28202057
Cameroon,CMR,1995,24.15086937
Cameroon,CMR,1997,19.21187973
Cameroon,CMR,1998,19.75613976
Cameroon,CMR,1999,23.41324997
Cameroon,CMR,2000,23.66847038
Cameroon,CMR,2001,23.66741943
Cameroon,CMR,2002,23.9527607
Cameroon,CMR,2003,23.5032196
Cameroon,CMR,2004,22.83249092
Cameroon,CMR,2005,24.07250023
Cameroon,CMR,2006,21.22015953
Cameroon,CMR,2007,17.59527016
Cameroon,CMR,2008,21.7791996
Cameroon,CMR,2009,22.30455971
Cameroon,CMR,2010,21.80981064
Cameroon,CMR,2011,22.08540916
Cameroon,CMR,2012,22.14664078
Cameroon,CMR,2014,21.0998497
Canada,CAN,1985,33.94945145
Canada,CAN,1986,33.43247986
Canada,CAN,1987,33.39503098
Canada,CAN,1988,32.04531097
Canada,CAN,1989,30.75349045
Canada,CAN,1990,31.77257919
Canada,CAN,1991,30.56052971
Canada,CAN,1992,30.68733025
Canada,CAN,1993,37.04283905
Canada,CAN,1994,37.41448975
Canada,CAN,1995,38.97121811
Canada,CAN,1996,39.56436157
Canada,CAN,1998,17.95027924
Canada,CAN,1999,17.25877953
Canada,CAN,2000,17.72480965
Cape Verde,CPV,1984,28.59420013
Cape Verde,CPV,1987,33.25735092
Cape Verde,CPV,2001,24.79348946
Cape Verde,CPV,2002,25.1119194
Cape Verde,CPV,2003,25.9254303
Cape Verde,CPV,2004,21.67491913
Cape Verde,CPV,2005,23.04380035
Cape Verde,CPV,2006,22.48210907
Cape Verde,CPV,2007,21.7062397
Cape Verde,CPV,2008,21.54475021
Cape Verde,CPV,2009,21.39922905
Cape Verde,CPV,2010,19.79140091
Cape Verde,CPV,2011,20.25985909
Cape Verde,CPV,2012,19.70619965
Cape Verde,CPV,2013,18.19471931
Cape Verde,CPV,2014,17.70104027
Chad,TCD,1972,23.04000092
Chad,TCD,1995,24.97014999
Chad,TCD,2010,35.05619812
Chad,TCD,2011,34.01369858
Chad,TCD,2012,35.17311096
Chad,TCD,2013,29.29759026
Chile,CHL,1971,32.76108932
Chile,CHL,1972,34.35157013
Chile,CHL,1973,34.64120102
Chile,CHL,1974,43.50297928
Chile,CHL,1975,49.64052963
Chile,CHL,1976,41.8600502
Chile,CHL,1977,46.23432159
Chile,CHL,1978,46.61156845
Chile,CHL,1979,65.56436157
Chile,CHL,1988,22.95896912
Chile,CHL,1989,23.16132927
Chile,CHL,1991,24.03219032
Chile,CHL,1993,27.22761917
Chile,CHL,1994,27.96994019
Chile,CHL,1995,29.55941963
Chile,CHL,2000,24.27352905
Chile,CHL,2002,24.80104065
Chile,CHL,2003,22.90847969
Chile,CHL,2004,21.4056797
Chile,CHL,2005,20.69556046
Chile,CHL,2006,19.65949059
Chile,CHL,2007,18.63931084
Chile,CHL,2008,14.18887997
Chile,CHL,2009,12.4592104
Chile,CHL,2010,9.807579994
Chile,CHL,2011,9.478500366
China,CHN,1974,28.65497017
China,CHN,1975,25.09989929
China,CHN,1976,26.21563911
China,CHN,1977,27.13397026
China,CHN,1978,26.78614044
China,CHN,1979,28.43681908
China,CHN,1980,29.85500908
China,CHN,1981,28.01972008
China,CHN,1982,26.33308029
China,CHN,1983,26.80853081
China,CHN,1984,26.33371925
China,CHN,1985,26.36408043
China,CHN,1986,26.90834999
China,CHN,1987,26.92974091
China,CHN,1988,27.75315094
China,CHN,1989,27.66304016
China,CHN,1990,26.05640984
China,CHN,1991,26.31043053
China,CHN,1992,28.7331295
China,CHN,1993,29.79398918
China,CHN,1994,30.53277969
China,CHN,1995,30.52223969
China,CHN,1996,30.98328972
China,CHN,1997,30.00606918
China,CHN,1998,28.48123932
China,CHN,1999,27.44985008
China,CHN,2000,26.66437912
China,CHN,2001,26.20314026
China,CHN,2006,22.88607979
China,CHN,2007,22.42935944
China,CHN,2008,22.38451958
China,CHN,2009,22.71068001
China,CHN,2010,24.03673935
China,CHN,2011,23.15032959
China,CHN,2012,23.01143074
China,CHN,2013,22.26594925
China,CHN,2014,21.03871918
Colombia,COL,1972,18.14962006
Colombia,COL,1973,18.1508503
Colombia,COL,1974,20.31295013
Colombia,COL,1975,24.67403984
Colombia,COL,1976,25.96017075
Colombia,COL,1977,27.37004089
Colombia,COL,1978,25.11750031
Colombia,COL,1979,27.76240921
Colombia,COL,1980,25.86310005
Colombia,COL,1981,24.32983971
Colombia,COL,1982,25.19218063
Colombia,COL,1983,24.20809937
Colombia,COL,1984,27.33484077
Colombia,COL,1985,26.19466019
Colombia,COL,1986,24.07279015
Colombia,COL,1987,24.00827026
